IDs_interactor_A	IDs_interactor_B	interactor_IDs_databases_A	interactor_IDs_databases_B	Taxid_interactor_A	Taxid_interactor_B	Publication_Identifiers	Confidence_values	Host_organisms	bait_prey_status_A	bait_prey_status_B	Interaction_detection_methods	Interaction_types	Interaction_identifiers	Expansion_methods	Features_interactor_A	Features_interactor_B	Identification_method_participant_A	Identification_method_participant_B	binding_region_A_start	binding_region_A_end	binding_region_B_start	binding_region_B_end	binding_region_A_type	binding_region_B_type	pair_id
Q4JQV2	Q9J3N1	uniprotkb	uniprotkb	341980	341980	20205919		4932	prey	bait	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2532904|imex:IM-11718-262	-	-	-	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"							Q4JQV2|Q9J3N1
Q4JQV2	Q77NN6	uniprotkb	uniprotkb	341980	341980	20205919		4932	prey	bait	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2532915|imex:IM-11718-215	-	-	-	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"							Q4JQV2|Q77NN6
Q4JQV2	Q9J3M8	uniprotkb	uniprotkb	341980	341980	20205919		4932	prey	bait	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2532922|imex:IM-11718-263	-	-	-	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"							Q4JQV2|Q9J3M8
Q4JQV2	Q4JQW6	uniprotkb	uniprotkb	341980	341980	20205919		4932	prey	bait	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2532939|imex:IM-11718-264	-	-	-	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"							Q4JQV2|Q4JQW6
Q4JQV2	Q4JQW8	uniprotkb	uniprotkb	341980	341980	20205919		4932	prey	bait	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2532932|imex:IM-11718-216	-	-	-	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"							Q4JQV2|Q4JQW8
P0C764	Q4JQV2	uniprotkb	uniprotkb	341980	341980	20205919		4932	bait	prey	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2532946|imex:IM-11718-217	-	-	-	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"							P0C764|Q4JQV2
Q4JQU8	Q4JQV1	uniprotkb	uniprotkb	341980	341980	20205919		4932	bait	prey	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2532953|imex:IM-11718-101	-	sufficient binding region:1-238	-	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"	1	238			sufficient_binding_region		Q4JQU8|Q4JQV1
Q4JQV1	Q4JQW3	uniprotkb	uniprotkb	341980	341980	20205919		4932	prey	bait	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2532960|imex:IM-11718-172	-	sufficient binding region:1-238	-	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"	1	238			sufficient_binding_region		Q4JQV1|Q4JQW3
Q4JQV1	Q4JQV7	uniprotkb	uniprotkb	341980	341980	20205919		4932	prey	bait	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2532967|imex:IM-11718-89	-	sufficient binding region:1-238	sufficient binding region:173-306	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"	1	238	173	306	sufficient_binding_region	sufficient_binding_region	Q4JQV1|Q4JQV7
Q4JQV1	Q4JQV6	uniprotkb	uniprotkb	341980	341980	20205919		4932	prey	bait	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2532974|imex:IM-11718-173	-	sufficient binding region:1-238	-	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"	1	238			sufficient_binding_region		Q4JQV1|Q4JQV6
Q4JQV1	Q4JQV1	uniprotkb	uniprotkb	341980	341980	20205919		4932	bait	prey	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2532981|imex:IM-11718-100	-	sufficient binding region:1-238	sufficient binding region:1-238	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"	1	238	1	238	sufficient_binding_region	sufficient_binding_region	Q4JQV1|Q4JQV1
Q4JQU9	Q4JQV1	uniprotkb	uniprotkb	341980	341980	20205919		4932	bait	prey	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2532988|imex:IM-11718-174	-	-	sufficient binding region:1-238	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"			1	238		sufficient_binding_region	Q4JQU9|Q4JQV1
Q4JQV1	Q4JR00	uniprotkb	uniprotkb	341980	341980	20205919		4932	prey	bait	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2532995|imex:IM-11718-175	-	sufficient binding region:1-238	-	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"	1	238			sufficient_binding_region		Q4JQV1|Q4JR00
Q4JQV1	Q77NN9	uniprotkb	uniprotkb	341980	341980	20205919		4932	prey	bait	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2533002|imex:IM-11718-138	-	sufficient binding region:1-238	-	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"	1	238			sufficient_binding_region		Q4JQV1|Q77NN9
Q4JQV0	Q4JQW3	uniprotkb	uniprotkb	341980	341980	20205919		4932	prey	bait	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2533031|imex:IM-11718-218	-	-	-	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"							Q4JQV0|Q4JQW3
Q4JQV1	Q77NN4	uniprotkb	uniprotkb	341980	341980	20205919		4932	prey	bait	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2533016|imex:IM-11718-155	-	sufficient binding region:1-238	sufficient binding region:295-354	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"	1	238	295	354	sufficient_binding_region	sufficient_binding_region	Q4JQV1|Q77NN4
Q4JQV1	Q9J3N1	uniprotkb	uniprotkb	341980	341980	20205919		4932	prey	bait	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2533009|imex:IM-11718-176	-	sufficient binding region:1-238	-	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"	1	238			sufficient_binding_region		Q4JQV1|Q9J3N1
Q4JQV0	Q4JQW3	uniprotkb	uniprotkb	341980	341980	20205919		4932	prey	bait	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2533038|imex:IM-11718-81	-	-	sufficient binding region:361-661	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"			361	661		sufficient_binding_region	Q4JQV0|Q4JQW3
Q4JQV0	Q4JQW0	uniprotkb	uniprotkb	341980	341980	20205919		4932	prey	bait	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2533045|imex:IM-11718-85	-	-	sufficient binding region:205-263	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"			205	263		sufficient_binding_region	Q4JQV0|Q4JQW0
Q4JQV0	Q4JQV7	uniprotkb	uniprotkb	341980	341980	20205919		4932	prey	bait	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2533052|imex:IM-11718-88	-	-	sufficient binding region:173-306	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"			173	306		sufficient_binding_region	Q4JQV0|Q4JQV7
Q4JQV0	Q4JQV6	uniprotkb	uniprotkb	341980	341980	20205919		4932	prey	bait	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2533066|imex:IM-11718-265	-	-	-	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"							Q4JQV0|Q4JQV6
Q4JQV0	Q4JQV7	uniprotkb	uniprotkb	341980	341980	20205919		4932	prey	bait	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2533059|imex:IM-11718-178	-	-	sufficient binding region:1-151	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"			1	151		sufficient_binding_region	Q4JQV0|Q4JQV7
Q4JQV0	Q4JQX3	uniprotkb	uniprotkb	341980	341980	20205919		4932	prey	bait	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2533086|imex:IM-11718-266	-	-	-	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"							Q4JQV0|Q4JQX3
Q4JQV0	Q4JQV1	uniprotkb	uniprotkb	341980	341980	20205919		4932	prey	bait	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2533100|imex:IM-11718-99	-	-	sufficient binding region:1-238	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"			1	238		sufficient_binding_region	Q4JQV0|Q4JQV1
Q4JQV0	Q4JQV2	uniprotkb	uniprotkb	341980	341980	20205919		4932	prey	bait	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2533093|imex:IM-11718-219	-	-	-	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"							Q4JQV0|Q4JQV2
Q4JQV0	Q4JQV0	uniprotkb	uniprotkb	341980	341980	20205919		4932	prey	bait	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2533107|imex:IM-11718-220	-	-	-	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"							Q4JQV0|Q4JQV0
Q4JQU9	Q4JQV0	uniprotkb	uniprotkb	341980	341980	20205919		4932	bait	prey	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2533114|imex:IM-11718-267	-	-	-	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"							Q4JQU9|Q4JQV0
Q4JQU7	Q4JQV0	uniprotkb	uniprotkb	341980	341980	20205919		4932	bait	prey	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2533128|imex:IM-11718-268	-	-	-	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"							Q4JQU7|Q4JQV0
Q4JQU8	Q4JQV0	uniprotkb	uniprotkb	341980	341980	20205919		4932	bait	prey	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2533121|imex:IM-11718-221	-	-	-	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"							Q4JQU8|Q4JQV0
Q4JQU6	Q4JQV0	uniprotkb	uniprotkb	341980	341980	20205919		4932	bait	prey	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2533135|imex:IM-11718-222	-	-	-	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"							Q4JQU6|Q4JQV0
Q4JQV0	Q4JQX2	uniprotkb	uniprotkb	341980	341980	20205919		4932	prey	bait	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2533142|imex:IM-11718-269	-	-	-	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"							Q4JQV0|Q4JQX2
Q4JQU5	Q4JQV0	uniprotkb	uniprotkb	341980	341980	20205919		4932	bait	prey	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2533167|imex:IM-11718-223	-	-	-	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"							Q4JQU5|Q4JQV0
Q4JQV0	Q4JR05	uniprotkb	uniprotkb	341980	341980	20205919		4932	prey	bait	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2533180|imex:IM-11718-118	-	-	sufficient binding region:751-868	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"			751	868		sufficient_binding_region	Q4JQV0|Q4JR05
Q4JQU3	Q4JQV0	uniprotkb	uniprotkb	341980	341980	20205919		4932	bait	prey	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2533187|imex:IM-11718-224	-	-	-	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"							Q4JQU3|Q4JQV0
P0C0E6	Q4JQV0	uniprotkb	uniprotkb	341980	341980	20205919		4932	bait	prey	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2533211|imex:IM-11718-271	-	-	-	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"							P0C0E6|Q4JQV0
Q4JQT6	Q4JQV0	uniprotkb	uniprotkb	341980	341980	20205919		4932	bait	prey	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2533224|imex:IM-11718-42	-	sufficient binding region:1-79	-	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"	1	79			sufficient_binding_region		Q4JQT6|Q4JQV0
Q4JQT7	Q4JQV0	uniprotkb	uniprotkb	341980	341980	20205919		4932	bait	prey	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2533245|imex:IM-11718-273	-	-	-	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"							Q4JQT7|Q4JQV0
Q4JQT4	Q4JQV0	uniprotkb	uniprotkb	341980	341980	20205919		4932	bait	prey	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2533231|imex:IM-11718-272	-	-	-	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"							Q4JQT4|Q4JQV0
Q4JQV0	Q4JR00	uniprotkb	uniprotkb	341980	341980	20205919		4932	prey	bait	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2533238|imex:IM-11718-226	-	-	-	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"							Q4JQV0|Q4JR00
Q4JQT1	Q4JQV0	uniprotkb	uniprotkb	341980	341980	20205919		4932	bait	prey	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2533256|imex:IM-11718-227	-	-	-	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"							Q4JQT1|Q4JQV0
Q4JQS7	Q4JQV0	uniprotkb	uniprotkb	341980	341980	20205919		4932	bait	prey	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2533266|imex:IM-11718-274	-	-	-	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"							Q4JQS7|Q4JQV0
Q4JQV0	Q77NP3	uniprotkb	uniprotkb	341980	341980	20205919		4932	prey	bait	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2533273|imex:IM-11718-228	-	-	-	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"							Q4JQV0|Q77NP3
Q4JQV0	Q77NP2	uniprotkb	uniprotkb	341980	341980	20205919		4932	prey	bait	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2533294|imex:IM-11718-43	-	-	sufficient binding region:359-435	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"			359	435		sufficient_binding_region	Q4JQV0|Q77NP2
Q4JQV0	Q77NP2	uniprotkb	uniprotkb	341980	341980	20205919		4932	prey	bait	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2533283|imex:IM-11718-275	-	-	-	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"							Q4JQV0|Q77NP2
Q4JQV0	Q9J3N6	uniprotkb	uniprotkb	341980	341980	20205919		4932	prey	bait	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2533311|imex:IM-11718-229	-	-	-	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"							Q4JQV0|Q9J3N6
Q4JQV0	Q9J3N7	uniprotkb	uniprotkb	341980	341980	20205919		4932	prey	bait	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2533304|imex:IM-11718-276	-	-	-	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"							Q4JQV0|Q9J3N7
Q4JQV0	Q9J3N5	uniprotkb	uniprotkb	341980	341980	20205919		4932	prey	bait	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2533323|imex:IM-11718-277	-	-	-	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"							Q4JQV0|Q9J3N5
Q4JQV0	Q77NN9	uniprotkb	uniprotkb	341980	341980	20205919		4932	prey	bait	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2533335|imex:IM-11718-230	-	-	-	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"							Q4JQV0|Q77NN9
Q4JQV0	Q9J3N3	uniprotkb	uniprotkb	341980	341980	20205919		4932	prey	bait	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2533342|imex:IM-11718-278	-	-	-	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"							Q4JQV0|Q9J3N3
Q4JQV0	Q9J3N2	uniprotkb	uniprotkb	341980	341980	20205919		4932	prey	bait	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2533353|imex:IM-11718-231	-	-	-	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"							Q4JQV0|Q9J3N2
Q4JQV0	Q9J3N1	uniprotkb	uniprotkb	341980	341980	20205919		4932	prey	bait	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2533367|imex:IM-11718-44	-	-	sufficient binding region:36-159	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"			36	159		sufficient_binding_region	Q4JQV0|Q9J3N1
Q4JQV0	Q4JQW9	uniprotkb	uniprotkb	341980	341980	20205919		4932	prey	bait	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2533360|imex:IM-11718-279	-	-	-	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"							Q4JQV0|Q4JQW9
Q4JQV0	Q8AZM1	uniprotkb	uniprotkb	341980	341980	20205919		4932	prey	bait	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2533374|imex:IM-11718-280	-	-	-	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"							Q4JQV0|Q8AZM1
Q4JQV0	Q4JR15	uniprotkb	uniprotkb	341980	341980	20205919		4932	prey	bait	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2533381|imex:IM-11718-232	-	-	-	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"							Q4JQV0|Q4JR15
Q4JQV0	Q77NN6	uniprotkb	uniprotkb	341980	341980	20205919		4932	prey	bait	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2533388|imex:IM-11718-281	-	-	-	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"							Q4JQV0|Q77NN6
Q4JQV0	Q77NN6	uniprotkb	uniprotkb	341980	341980	20205919		4932	prey	bait	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2533395|imex:IM-11718-46	-	-	sufficient binding region:1-74	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"			1	74		sufficient_binding_region	Q4JQV0|Q77NN6
Q4JQV0	Q77NN4	uniprotkb	uniprotkb	341980	341980	20205919		4932	prey	bait	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2533402|imex:IM-11718-282	-	-	-	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"							Q4JQV0|Q77NN4
Q4JQV0	Q9J3M8	uniprotkb	uniprotkb	341980	341980	20205919		4932	prey	bait	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2533416|imex:IM-11718-151	-	-	sufficient binding region:560-623	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"			560	623		sufficient_binding_region	Q4JQV0|Q9J3M8
Q4JQV0	Q9J3M8	uniprotkb	uniprotkb	341980	341980	20205919		4932	prey	bait	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2533423|imex:IM-11718-48	-	-	sufficient binding region:560-623	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"			560	623		sufficient_binding_region	Q4JQV0|Q9J3M8
Q4JQV0	Q77NN4	uniprotkb	uniprotkb	341980	341980	20205919		4932	prey	bait	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2533409|imex:IM-11718-47	-	-	sufficient binding region:295-354	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"			295	354		sufficient_binding_region	Q4JQV0|Q77NN4
Q4JQV0	Q4JQW7	uniprotkb	uniprotkb	341980	341980	20205919		4932	prey	bait	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2533430|imex:IM-11718-283	-	-	-	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"							Q4JQV0|Q4JQW7
Q4JQV0	Q4JQW6	uniprotkb	uniprotkb	341980	341980	20205919		4932	prey	bait	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2533437|imex:IM-11718-233	-	-	-	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"							Q4JQV0|Q4JQW6
P0C764	Q4JQV0	uniprotkb	uniprotkb	341980	341980	20205919		4932	bait	prey	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2533444|imex:IM-11718-284	-	-	-	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"							P0C764|Q4JQV0
Q4JQV0	Q9E2H5	uniprotkb	uniprotkb	341980	341980	20205919		4932	prey	bait	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2533461|imex:IM-11718-285	-	-	-	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"							Q4JQV0|Q9E2H5
P0C764	Q4JQV0	uniprotkb	uniprotkb	341980	341980	20205919		4932	bait	prey	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2533451|imex:IM-11718-49	-	sufficient binding region:1-53	-	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"	1	53			sufficient_binding_region		P0C764|Q4JQV0
Q4JQU9	Q4JQV7	uniprotkb	uniprotkb	341980	341980	20205919		4932	prey	bait	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2533468|imex:IM-11718-111	-	-	sufficient binding region:173-306	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"			173	306		sufficient_binding_region	Q4JQU9|Q4JQV7
Q4JQU9	Q4JQV6	uniprotkb	uniprotkb	341980	341980	20205919		4932	prey	bait	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2533475|imex:IM-11718-286	-	-	-	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"							Q4JQU9|Q4JQV6
Q4JQU7	Q4JQU9	uniprotkb	uniprotkb	341980	341980	20205919		4932	bait	prey	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2533507|imex:IM-11718-287	-	-	-	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"							Q4JQU7|Q4JQU9
Q4JQU9	Q4JQU9	uniprotkb	uniprotkb	341980	341980	20205919		4932	bait	prey	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2533500|imex:IM-11718-234	-	-	-	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"							Q4JQU9|Q4JQU9
Q4JQU6	Q4JQU9	uniprotkb	uniprotkb	341980	341980	20205919		4932	bait	prey	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-2533514|imex:IM-11718-235	-	-	-	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"							Q4JQU6|Q4JQU9
